问题ID,模块,严重度,问题标题,详细描述,根因,相关源文件,第十三章评分,第十四章状态,修复状态,对测试的影响,修复工时预估,优先级
P-AG-01,Agent Loop / QueryEngine,P1,工具摘要缺 Haiku 异步生成机制,当工具输出超过阈值时直接截断而非异步摘要,设计阶段选择截断策略以降低成本,QueryEngine.java (~850-920行),80/100,-,未修复,端到端通过但信息密度降低,3-5天,M1
P-AG-02,Agent Loop / QueryEngine,P2,缺少 newContext 更新机制,每轮循环后无法生成新上下文快照,直接修改messages列表导致无法支持分支执行,QueryEngine.java (~950-1000行),80/100,-,未修复,影响上下文恢复场景,2-3天,M5
P-TOOL-01,工具系统 / ToolExecutionPipeline,P1,Schema 验证为骨架实现,第1阶段仅做null检查未实现完整JSON Schema验证,简化设计未涵盖参数验证,ToolExecutionPipeline.java (~80-120行),82.5/100,✅通过,未修复,LLM生成参数恰好合法未暴露,3-5天,M4
P-TOOL-02,工具系统 / 工具集,P2,缺失 4 个工具实现,NotebookEdit/NotebookRead/MonitorTool/WebBrowserTool,实现复杂度高或依赖外部服务,tool/ 目录,82.5/100,N/A,未修复,工具集不完整,1-2周,L5
P-TOOL-03,工具系统 / ToolUseContext,P1,ToolUseContext NPE 导致工具调用崩溃,Controller创建QueryLoopState时传入null导致NPE,WebSocketController和QueryController初始化不完整,WebSocketController/QueryController/QueryEngine,82.5/100,✅修复,✅已修复,影响所有工具调用,已修复,S4
P-TOOL-04,工具系统 / FileEditTool FileReadTool,P1,FileEdit和FileRead单元测试因PathSecurityService未mock导致19个NPE,工具执行前调用PathSecurityService但测试未mock,构造器签名变更时测试mock未同步,FileEditToolUnitTest/FileReadToolUnitTest,82.5/100,✅通过,未修复,19个测试无法执行,1天,S4
P-PERM-01,权限系统 / AutoModeClassifier,P1,AutoModeClassifier.callClassifierLLM() 为桩实现,AUTO权限模式下所有工具自动允许丧失智能分类,快速交付时仅实现桩方法,AutoModeClassifier.java (~450-500行),85/100,✅通过,未修复,AUTO模式形同虚设,2-3天,S2
P-PERM-02,权限系统 / 前端dispatch,P0,前端 permission_mode_changed 消息处理不完整,后端推送消息前端无处理导致权限状态不同步,dispatch.ts缺少switch-case分支,dispatch.ts (~100-200行),85/100,✅通过,未修复,权限模式切换后前端不同步,0.5天,S3
P-AGENT-01,多Agent协作 / SubAgentExecutor,P1,子代理模型 "haiku" 无对应 LlmProvider 映射,explore/guide子代理默认模型硬编码为"haiku"但无Provider,模型名称硬编码为Claude系列与部署Qwen不匹配,AgentDefinition.java/SubAgentExecutor.java,82/100,❌失败,未修复,所有explore/guide子代理失败,1-2天,S1
P-AGENT-02,多Agent协作 / Worker权限,P1,Worker 权限冒泡缺失,Worker工具调用无法冒泡到Leader进行权限决策,缺少BUBBLE模式自动激活逻辑,SubAgentExecutor.java (~300-350行)/ToolExecutionPipeline.java,82/100,未触发,未修复,Worker可能绕过权限策略,3-5天,M2
P-AGENT-03,多Agent协作 / AgentTool配置,P2,模型名称硬编码在 AgentTool.getInputSchema 中,模型枚举为Claude系列与实际Qwen不匹配,模型枚举硬编码未从LlmProviderRegistry动态获取,AgentTool.java (~150-200行),82/100,E2E-P2-3,未修复,API Schema显示不适用模型,1天,M3
P-CTX-01,上下文管理 / REST API,P1,REST API 消息未持久化到数据库,REST API路径执行后不保存消息导致跨请求断裂,REST端点缺少MessageRepository.save()调用,QueryController.java (~50-120行),85/100,❌失败,未修复,跨请求多轮对话完全断裂,2-3天,S1
P-CTX-02,上下文管理 / 自动压缩,P2,自动压缩触发阈值异常 仅1条消息即触发,shouldAutoCompactBufferBased触发条件不当,缓冲区阈值计算逻辑有误或配置过低,CompactService.java (~200-250行),85/100,E2E-P2-1,未修复,频繁无谓压缩浪费资源,1天,M4
P-CTX-03,上下文管理 / 多轮对话,P2,多轮对话偶发空结果,第3轮返回usage=0 result="",消息未持久化或上下文检索失败,可能与P-CTX-01相关联,QueryController.java/QueryEngine.java,85/100,E2E-P2-2,未修复,端到端测试不稳定,2天,M2
P-CTX-04,上下文管理 / 测试,P2,上下文管理4层缺 dedicated 单元测试,Snip/Micro/Collapse/Token层无独立单元测试,测试基础设施不完整,CompactServiceUnitTest.java,85/100,N/A,未修复,测试覆盖率不完整,3-5天,M3
P-SP-01,System Prompt,P2,System Prompt 内容量仅55%覆盖,18.6KB vs原版40KB缺工具示例和最佳实践,精简策略与成本权衡倾向于低成本,SystemPromptBuilder.java (1106行),72/100,-,未修复,长期使用影响LLM行为一致性,1-2周,M1
P-FE-01,前端 / App.tsx,P1,前端会话创建缺错误处理,createSession缺try-catch导致连接失败时无提示,异步调用缺少error boundary,App.tsx (~120-130行),87/100,-,未修复,连接失败用户无反馈,0.5天,S5
P-FE-02,前端 / WebSocket消息处理,P3,WebSocket 消息解析偶发错误,console出现Failed to parse message警告,消息格式处理存在边界情况,stompClient.ts (~100-150行),87/100,E2E-P3-1,未修复,开发者体验受影响,0.5天,L1
P-FE-03,前端 / WebSocket连接,P3,WebSocket 原生连接失败后降级到XHR Streaming,自动降级到SockJS XHR Streaming,可能是网络配置或服务端配置导致,stompClient.ts/WebSocketProvider.tsx,87/100,E2E-P3-3,不需修复,功能正常仅影响性能,N/A,N/A
P-FE-04,前端 / TypeScript,P3,前端 2 个 unused import 警告,TerminalRenderer.tsx useMemo和dispatch.test.ts useAppUiStore,代码重构未清理导入,TerminalRenderer.tsx/dispatch.test.ts,87/100,N/A,未修复,仅影响代码质量,0.5天,L2
P-BASH-01,BashTool / 单元测试,P1,BashParserGoldenTest 45个NPE因AppStateStore未初始化,BashParser运行时依赖AppStateStore.getCwd()但测试未初始化,测试@BeforeAll未初始化AppStateStore单例,BashParserGoldenTest.java (537行),85/100,✅通过,未修复,45个BashTool安全测试无法执行,1天,S4

