scenario,rank,report_id,label,score,defect_score,judgement_score,TP,FP,FN,partial,uncertain,excluded
beta=0.5;weights=4-2-1;defects=70,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,79.0,49.0,30,14.0,1.0,26.0,1,7,22
beta=0.5;weights=4-2-1;defects=70,2,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,77.4,47.4,30,13.0,1.0,27.0,1,7,42
beta=0.5;weights=4-2-1;defects=70,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,75.8,45.8,30,11,0,29,0,2,15
beta=0.5;weights=4-2-1;defects=70,4,R07,QoderIDE / Sonus-session-merge-v2-review,66.0,36.0,30,7,0,33,0,1,17
beta=0.5;weights=4-2-1;defects=70,5,R03,KimiCode / KimiK3-session-merge-v2-review,64.0,34.0,30,7,1,33,0,7,26
beta=0.5;weights=4-2-1;defects=70,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,62.2,32.2,30,7.0,2.0,33.0,1,16,40
beta=0.5;weights=4-2-1;defects=70,7,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,59.2,29.2,30,10.0,10.0,30.0,1,11,53
beta=0.5;weights=4-2-1;defects=70,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,55.7,25.7,30,5,2,35,0,2,9
beta=0.5;weights=4-2-1;defects=70,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,51.7,29.2,22.5,5,0,35,0,6,21
beta=0.5;weights=4-2-1;defects=70,10,R04,Qoder / kimik3-session-merge-v2-review,42.7,20.2,22.5,3,0,37,0,2,11
beta=0.5;weights=4-2-1;defects=70,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,42.7,20.2,22.5,3,0,37,0,2,25
beta=0.5;weights=4-2-1;defects=70,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,37.1,14.6,22.5,2,0,38,0,2,10
beta=0.5;weights=4-2-1;defects=70,12,R16,小米mimo / session-merge-v2-code-review,37.1,14.6,22.5,2,0,38,0,2,12
beta=0.5;weights=4-2-1;defects=70,14,R17,智普ZCode / 会话合并v2代码审查报告,29.8,7.3,22.5,1.0,1.0,39.0,1,1,10
beta=0.5;weights=4-2-1;defects=70,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,22.5,0.0,22.5,0,0,40,0,2,10
beta=0.5;weights=4-2-1;defects=70,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,15.0,0.0,15,0,0,40,0,2,14
beta=0.5;weights=4-2-1;defects=70,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,40,0,2,8
beta=0.5;weights=4-2-1;defects=80,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,76.0,56.0,20,14.0,1.0,26.0,1,7,22
beta=0.5;weights=4-2-1;defects=80,2,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,74.2,54.2,20,13.0,1.0,27.0,1,7,42
beta=0.5;weights=4-2-1;defects=80,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,72.4,52.4,20,11,0,29,0,2,15
beta=0.5;weights=4-2-1;defects=80,4,R07,QoderIDE / Sonus-session-merge-v2-review,61.2,41.2,20,7,0,33,0,1,17
beta=0.5;weights=4-2-1;defects=80,5,R03,KimiCode / KimiK3-session-merge-v2-review,58.9,38.9,20,7,1,33,0,7,26
beta=0.5;weights=4-2-1;defects=80,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,56.8,36.8,20,7.0,2.0,33.0,1,16,40
beta=0.5;weights=4-2-1;defects=80,7,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,53.3,33.3,20,10.0,10.0,30.0,1,11,53
beta=0.5;weights=4-2-1;defects=80,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,49.4,29.4,20,5,2,35,0,2,9
beta=0.5;weights=4-2-1;defects=80,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,48.3,33.3,15,5,0,35,0,6,21
beta=0.5;weights=4-2-1;defects=80,10,R04,Qoder / kimik3-session-merge-v2-review,38.1,23.1,15,3,0,37,0,2,11
beta=0.5;weights=4-2-1;defects=80,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,38.1,23.1,15,3,0,37,0,2,25
beta=0.5;weights=4-2-1;defects=80,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,31.7,16.7,15,2,0,38,0,2,10
beta=0.5;weights=4-2-1;defects=80,12,R16,小米mimo / session-merge-v2-code-review,31.7,16.7,15,2,0,38,0,2,12
beta=0.5;weights=4-2-1;defects=80,14,R17,智普ZCode / 会话合并v2代码审查报告,23.3,8.3,15,1.0,1.0,39.0,1,1,10
beta=0.5;weights=4-2-1;defects=80,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,15.0,0.0,15,0,0,40,0,2,10
beta=0.5;weights=4-2-1;defects=80,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,10.0,0.0,10,0,0,40,0,2,14
beta=0.5;weights=4-2-1;defects=80,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,5.0,0.0,5,0,0,40,0,2,8
beta=0.5;weights=4-2-1;defects=90,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,73.0,63.0,10,14.0,1.0,26.0,1,7,22
beta=0.5;weights=4-2-1;defects=90,2,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,70.9,60.9,10,13.0,1.0,27.0,1,7,42
beta=0.5;weights=4-2-1;defects=90,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,68.9,58.9,10,11,0,29,0,2,15
beta=0.5;weights=4-2-1;defects=90,4,R07,QoderIDE / Sonus-session-merge-v2-review,56.3,46.3,10,7,0,33,0,1,17
beta=0.5;weights=4-2-1;defects=90,5,R03,KimiCode / KimiK3-session-merge-v2-review,53.8,43.8,10,7,1,33,0,7,26
beta=0.5;weights=4-2-1;defects=90,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,51.4,41.4,10,7.0,2.0,33.0,1,16,40
beta=0.5;weights=4-2-1;defects=90,7,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,47.5,37.5,10,10.0,10.0,30.0,1,11,53
beta=0.5;weights=4-2-1;defects=90,8,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,45.0,37.5,7.5,5,0,35,0,6,21
beta=0.5;weights=4-2-1;defects=90,9,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,43.1,33.1,10,5,2,35,0,2,9
beta=0.5;weights=4-2-1;defects=90,10,R04,Qoder / kimik3-session-merge-v2-review,33.5,26.0,7.5,3,0,37,0,2,11
beta=0.5;weights=4-2-1;defects=90,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,33.5,26.0,7.5,3,0,37,0,2,25
beta=0.5;weights=4-2-1;defects=90,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,26.3,18.8,7.5,2,0,38,0,2,10
beta=0.5;weights=4-2-1;defects=90,12,R16,小米mimo / session-merge-v2-code-review,26.3,18.8,7.5,2,0,38,0,2,12
beta=0.5;weights=4-2-1;defects=90,14,R17,智普ZCode / 会话合并v2代码审查报告,16.9,9.4,7.5,1.0,1.0,39.0,1,1,10
beta=0.5;weights=4-2-1;defects=90,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,40,0,2,10
beta=0.5;weights=4-2-1;defects=90,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,5.0,0.0,5,0,0,40,0,2,14
beta=0.5;weights=4-2-1;defects=90,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,2.5,0.0,2.5,0,0,40,0,2,8
